invoice_key,line_no,sku,description,qty,unit_price,line_amount
INV-2026-0001,1,NC-BRG-6204,Deep groove ball bearing 6204-2RS,400,3.85,1540.00
INV-2026-0001,2,NC-SEA-0912,Nitrile shaft seal 45x62x8,250,2.40,600.00
INV-2026-0002,1,FB-STL-4410,Cold rolled steel sheet 1.5mm 1250x2500,60,149.50,8970.00
INV-2026-0003,1,TL-FRT-STD,Standard palletised freight - domestic,12,415.80,4989.60
INV-2026-0004,1,NC-BRG-6204,Deep groove ball bearing 6204-2RS,600,3.85,2310.00
INV-2026-0005,1,PW-CTN-32L,Double wall carton 600x400x300,1500,1.15,1725.00
INV-2026-0001-DUPLICATE,1,NC-BRG-6204,Deep groove ball bearing 6204-2RS,400,3.85,1540.00
INV-2026-0001-DUPLICATE,2,NC-SEA-0912,Nitrile shaft seal 45x62x8,250,2.40,600.00
INV-2026-0007,1,LW-SOL-IPA5,Isopropyl alcohol 99.5% 5L,120,24.50,2940.00
INV-2026-0008,1,AW-ALU-6082,Aluminium billet 6082-T6 100mm,45,212.00,9540.00
INV-2026-0009,1,FB-STL-4410,Cold rolled steel sheet 1.5mm 1250x2500,320,152.44,48780.80
INV-2026-0009,2,FB-STL-6620,Galvanised steel coil 0.8mm,40,486.00,19440.00
INV-2026-0010,1,WW-BLT-M10,Hex bolt M10x40 grade 8.8 zinc,8000,0.32,2560.00
INV-2026-0011,1,TL-FRT-EXP,Expedited freight - domestic,6,640.00,3840.00
INV-2026-0012,1,PW-CTN-32L,Double wall carton 600x400x300,4000,1.15,4600.00
INV-2026-0012,2,PW-TAP-48,Reinforced packing tape 48mm x 66m,1200,2.05,2460.00
INV-2026-0012,3,PW-WRP-500,Stretch wrap 500mm x 300m,30,12.90,387.00
INV-2026-0013,1,WW-BLT-M10,Hex bolt M10x40 grade 8.8 zinc,12000,0.32,3840.00
INV-2026-0013,2,WW-NUT-M10,Hex nut M10 grade 8 zinc,12000,0.11,1320.00
INV-2026-0014,1,NC-SEA-0912,Nitrile shaft seal 45x62x8,500,2.40,1200.00
INV-2026-0015,1,PW-CTN-32L,Double wall carton 600x400x300,1500,1.15,1725.00
